,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 129C  Sample  2  A,normalized Abundances Count: F1: 131  Sample  1  B,normalized Abundance: F3: 128C  Sample  3  C,normalized Abundances Count: F1: 130C  Sample  1  AB,normalized Abundance: F1: 130C  Sample  1  AB,normalized Abundance: F3: 131  Sample  3  B,average_normalized ,P VALUE of ,average_normalized : F,P VALUE of : F,average_normalized_of_CONTROL
10,11361.7,11245.5,7284.5,12400.0,12274.9,7862.8,8611.4,8601.4,5527.7,12027.3,11846.2,7676.3,71.0,72.0,62.0,71.0,72.0,61.0,71.0,72.0,62.0,71.0,72.0,62.0,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,0.0,41.51762304641941,71.0,40.748910150071374,71.0,46.320176577512335,38.479024423971104,55.874455075035684,0.9871340510141724,42.39960050074172,0.5148779238752414,56.2588115232097
11,15802.5,15691.7,9313.7,18338.4,18502.7,10912.3,11632.9,11549.7,6898.9,15884.3,15660.3,9238.0,71.0,66.0,67.0,71.0,66.0,67.0,71.0,66.0,67.0,71.0,66.0,67.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],62.5820270585491,71.0,52.10009258902049,71.0,62.57263419519976,46.30736521874406,61.550046294510246,0.6813915292539494,54.43999970697191,0.3454189279071526,66.79101352927455
12,10399.1,10299.8,6395.5,12953.6,12981.1,8041.2,9245.3,8951.1,5587.6,12222.7,12203.7,7498.1,66.0,68.0,76.0,66.0,68.0,76.0,66.0,68.0,76.0,66.0,68.0,76.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,43.90621646839281,66.0,35.77591528104626,66.0,49.72988463107912,37.58576046186023,50.887957640523126,0.8498426292108766,43.657822546469674,0.4871351377927179,54.95310823419641
13,0.0,36.4,0.0,0.0,34.5,0.0,0.0,28.0,0.0,0.0,39.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,High,High,High,High,0.0,0.11668999300209937,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999956,0.0,0.49999999999999956,0.058344996501049684
14,10848.9,11637.9,6489.7,12125.1,13067.1,7459.1,8281.8,9005.5,4960.1,12945.7,14088.0,7635.4,66.0,66.0,57.0,66.0,66.0,57.0,65.0,66.0,57.0,66.0,66.0,57.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,44.19709587123863,66.0,36.302862543883336,65.0,44.54727899988871,38.27400480528235,50.65143127194167,0.8295434082498411,41.41064190258553,0.4180229646592516,55.098547935619315
15,47544.0,45960.7,32028.0,51170.7,49522.3,34297.2,32612.8,31477.4,21856.2,46753.4,45357.0,31513.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,High,High,High,Not Found,High,High,High,Not Found,High,Not Found,High,High,High,Not Found,High,Not Found,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],167.5001982738512,54.0,179.16206936460785,54.0,175.42219089661313,157.96536048260245,116.58103468230392,0.9513055651192677,166.69377568960778,0.5023491378206604,110.7500991369256
16,7436.6,8251.3,6393.8,8779.2,9671.7,7734.0,5881.6,6516.2,5202.0,7562.4,8374.8,6571.0,72.0,73.0,71.0,72.0,73.0,71.0,72.0,73.0,71.0,72.0,73.0,71.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],32.71277116864941,72.0,35.76640561706724,72.0,31.636754831769117,32.938482014761554,53.883202808533625,0.9596615741259471,32.287618423265336,0.4930640141839495,52.356385584324705
17,23653.2,25637.1,15637.3,26786.2,28750.7,17540.5,21650.1,23636.1,14088.6,31342.6,34395.4,20510.5,64.0,65.0,62.0,64.0,65.0,62.0,64.0,65.0,62.0,64.0,65.0,62.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,97.24402845812924,64.0,87.47380502295437,64.0,116.45452016173905,102.81307797348452,75.73690251147718,0.8348183526607498,109.63379906761179,0.3051067862626244,80.62201422906462
18,45278.0,51448.4,29157.3,55562.7,62694.4,36021.2,42912.2,48981.1,28018.0,60814.8,69028.7,39105.4,66.0,64.0,68.0,66.0,64.0,68.0,66.0,64.0,68.0,66.0,64.0,68.0,High,High,High,High,High,High,High,High,High,High,High,High,High,Not Found,High,High,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,212.05243760205272,66.0,163.10360325604722,66.0,230.82201283525615,196.0238189895079,114.55180162802361,0.809791435791331,213.42291591238202,0.4891007992307955,139.02621880102635
19,33973.0,34088.1,24367.7,39006.2,39258.7,28245.7,31710.8,32312.0,23105.9,39361.2,40487.4,28850.3,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,132.78543270352228,61.0,136.3109640831758,61.0,170.57038988017953,144.61803190845765,98.6554820415879,0.9760525208354331,157.5942108943186,0.31841020459793756,96.89271635176114
20,376.5,449.9,109.7,439.1,536.5,130.9,309.7,377.0,89.6,393.5,528.7,112.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High,High,High,High,High,Not Found,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,1.8146139491485886,1.0,0.6136530226457313,1.0,1.6658567347998665,0.5614229167026775,0.8068265113228656,0.35631312659159514,1.113639825751272,0.7135187284334009,1.4073069745742943
21,19559.6,20896.3,17171.8,23358.5,25130.3,20818.5,15776.9,17068.0,14063.4,20616.7,22085.1,18161.8,64.0,61.0,66.0,64.0,61.0,66.0,64.0,61.0,66.0,64.0,61.0,66.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],84.99868206204805,64.0,96.05767524401065,64.0,84.8629483993026,91.03973864795257,80.02883762200533,0.8038223811067138,87.95134352362759,0.41106161482940673,74.49934103102402
22,10950.4,10615.2,5948.8,12323.7,12143.0,6714.6,8111.4,7985.2,4500.5,11085.5,10784.5,5986.6,48.0,52.0,46.0,48.0,52.0,46.0,48.0,52.0,46.0,48.0,52.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,41.071495218101234,48.0,33.27711122256086,48.0,43.630708164855136,30.0090574386808,40.63855561128043,0.6951921179381874,36.81988280176797,0.44873849980482927,44.53574760905062
23,38778.9,40186.9,30884.7,44353.5,45992.1,35739.6,28827.1,29958.9,23045.2,37926.4,39115.9,30058.2,56.0,53.0,52.0,56.0,53.0,52.0,55.0,53.0,52.0,56.0,53.0,52.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,155.55993701889432,56.0,172.76654064272213,55.0,155.05914975702044,150.67287781100376,113.88327032136107,0.9261263271687097,152.8660137840121,0.5175200497908236,105.77996850944716
24,34845.7,36764.4,24766.2,40185.7,42485.2,28410.8,25865.2,27279.2,18309.0,32369.0,34448.0,23067.1,57.0,60.0,57.0,57.0,60.0,57.0,57.0,60.0,57.0,57.0,60.0,57.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,143.69848378819685,57.0,138.54014119825624,57.0,139.12727677412175,115.62855858814581,97.77007059912812,0.9693809978079577,127.37791768113378,0.6444198237566877,100.34924189409843
25,1215.4,134.2,164.8,1290.2,136.6,160.9,908.7,91.6,108.9,1246.1,136.6,154.6,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,High,High,High,High,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],0.46202472591555865,4.0,0.9218780139655107,4.0,4.887839893163187,0.7749641332342316,2.4609390069827555,0.9309793423842602,2.831402013198709,0.8457812917690253,2.231012362957779
26,25863.7,25332.5,17119.8,28364.0,27917.7,18803.3,19174.2,18988.5,13157.2,27206.3,27045.1,18295.7,52.0,56.0,53.0,52.0,56.0,53.0,52.0,56.0,53.0,52.0,56.0,53.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],94.42655703289013,52.0,95.7667914046526,52.0,103.13681047594318,91.71093979568909,73.8833957023263,0.9844563046845161,97.42387513581613,0.4503808597821432,73.21327851644506
27,36624.0,37400.3,27326.7,38627.9,38733.5,28875.4,32509.4,32957.2,24839.4,42719.1,43357.9,32139.0,60.0,59.0,59.0,60.0,59.0,59.0,60.0,59.0,59.0,60.0,59.0,59.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,131.00903895498018,60.0,152.86337332664635,60.0,174.86600882887564,161.10331357060136,106.43168666332318,0.8699879010029354,167.9846611997385,0.28085175297842535,95.50451947749009
28,37067.9,36417.7,28886.1,42424.7,41279.9,32681.3,27191.2,26463.7,20821.7,37092.7,36396.1,28575.4,51.0,52.0,51.0,51.0,52.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,139.62177513412644,51.0,161.58653215539525,51.0,146.25974700448864,143.2400394102294,106.29326607769762,0.891650675148122,144.74989320735904,0.4650604801424377,95.31088756706322
29,7719.0,7834.6,7124.9,8422.4,8572.5,7745.5,5639.9,5650.7,5333.6,7561.9,7638.6,6957.5,57.0,60.0,64.0,57.0,60.0,64.0,57.0,60.0,64.0,57.0,60.0,64.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],28.994926522043386,57.0,39.856120520041664,57.0,30.336665801090625,34.87589234784713,48.42806026002083,0.7778498313957896,32.60627907446887,0.5924895951535161,42.99746326102169
30,10493.6,11888.6,7480.3,12352.2,13942.2,8894.8,8864.0,10031.1,6490.8,12814.4,14261.4,8914.0,46.0,45.0,49.0,46.0,45.0,49.0,46.0,45.0,49.0,46.0,45.0,49.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,47.15696291112666,46.0,41.84419968365418,46.0,47.67889601958675,44.68324892399703,43.92209984182709,0.4126261299320434,46.18107247179189,0.8380271246616744,46.578481455563335
31,50868.9,52993.8,40368.5,56049.4,58781.1,44674.7,38568.0,40547.5,31127.9,55483.2,58408.4,44228.6,41.0,43.0,43.0,41.0,43.0,43.0,41.0,43.0,43.0,41.0,43.0,43.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,198.8164100769769,41.0,225.81815902164269,41.0,207.45483547872539,221.70490726496465,133.40907951082136,0.9218983957064562,214.579871371845,0.44116895417550883,119.90820503848845
32,8746.4,7896.8,4343.2,9136.6,7852.2,4466.0,6565.4,5690.6,3166.1,8966.4,7841.0,4310.5,62.0,57.0,47.0,62.0,57.0,47.0,61.0,57.0,47.0,62.0,57.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,26.558642407277816,62.0,24.295513290382317,61.0,35.314871832919096,21.607263236132958,42.64775664519116,0.9548297943457311,28.461067534526027,0.5308196707126822,44.27932120363891
33,10226.2,13608.0,8849.6,11787.2,15565.2,9905.5,7810.5,10186.3,6595.5,10005.8,13173.6,8516.0,32.0,32.0,30.0,32.0,32.0,30.0,32.0,32.0,30.0,32.0,32.0,30.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],52.64646606018195,32.0,49.5039543227499,32.0,42.01218607411804,42.68819248785716,40.75197716137495,0.9184323008508535,42.3501892809876,0.9983378517332101,42.323233030090975
34,11163.8,14344.9,8730.1,11367.0,14320.3,8663.8,9531.9,12144.6,7585.4,13040.8,16748.8,10167.3,46.0,45.0,43.0,46.0,45.0,43.0,46.0,45.0,43.0,46.0,45.0,43.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,48.43581758805691,46.0,48.83548088422515,46.0,51.27148792521423,50.96567161599226,47.417740442112574,0.9248092440423956,51.11857977060325,0.18794134216901853,47.21790879402846
35,13009.3,11027.3,8749.4,14744.4,12529.4,10135.5,9846.4,8327.2,6688.7,13346.6,11229.6,9017.9,42.0,44.0,38.0,42.0,44.0,38.0,42.0,44.0,38.0,42.0,44.0,38.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,42.378423139724745,42.0,48.94344353998688,42.0,52.963163556775605,45.20406893333103,45.47172176999344,0.5175549671335493,49.08361624505332,0.3257358424379906,42.18921156986237
36,6593.2,6859.0,5656.7,7116.8,7241.6,5889.9,4723.5,4827.3,4011.9,6685.3,7013.5,5609.1,53.0,50.0,53.0,53.0,50.0,53.0,53.0,50.0,53.0,53.0,50.0,53.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],24.493398647072546,53.0,31.64312719416689,53.0,25.40740809437252,28.11676144711597,42.32156359708345,0.8607581582621497,26.762084770744245,0.5543031372805926,38.746699323536276
37,2556.3,1179.2,637.1,2850.3,1326.7,708.2,2156.5,1008.8,566.3,2984.9,1444.3,798.3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,High,High,High,High,High,High,Not Found,Not Found,High,High,High,High,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],4.487322136692326,2.0,3.5638864241348718,2.0,11.59967726379048,4.001642092890602,2.7819432120674357,0.7878737281519923,7.8006596783405415,0.43134864252845095,3.243661068346163
38,5831.9,6154.8,3835.5,6455.9,6789.1,4328.1,5028.9,5343.0,3334.3,7721.2,8193.2,5094.2,34.0,33.0,30.0,34.0,33.0,30.0,34.0,33.0,30.0,34.0,33.0,30.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],22.962899463494285,34.0,21.455480112649976,34.0,27.05013540082353,25.535719841667675,27.72774005632499,0.9364539300801403,26.292927621245603,0.7597959058450008,28.48144973174714
39,37751.7,39174.8,27214.5,44445.3,45927.7,31865.1,37363.6,37818.2,26147.1,52484.9,53168.0,36724.2,35.0,35.0,34.0,35.0,36.0,34.0,35.0,36.0,34.0,35.0,36.0,34.0,High,High,High,High,Not Found,Not Found,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,High,High,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],155.34211569862373,35.0,152.23573550403148,35.0,200.97644396631674,184.08756676403988,93.61786775201574,0.9869280415349282,192.5320053651783,0.3483165260846112,95.17105784931186
